6,575	1	4,09	65,2	2,31	18	4,98	396,9	15,3	296	0,538	0,00632	24
6,421	2	4,9671	78,9	7,07	0	9,14	396,9	17,8	242	0,469	0,02731	21,6
7,185	2	4,9671	61,1	7,07	0	4,03	392,83	17,8	242	0,469	0,02729	34,7
6,998	3	6,0622	45,8	2,18	0	2,94	394,63	18,7	222	0,458	0,03237	33,4
7,147	3	6,0622	54,2	2,18	0	5,33	396,9	18,7	222	0,458	0,06905	36,2
6,43	3	6,0622	58,7	2,18	0	5,21	394,12	18,7	222	0,458	0,02985	28,7
6,012	5	5,5605	66,6	7,87	12,5	12,43	395,6	15,2	311	0,524	0,08829	22,9
6,172	5	5,9505	96,1	7,87	12,5	19,15	396,9	15,2	311	0,524	0,14455	27,1
5,631	5	6,0821	100	7,87	12,5	29,93	386,63	15,2	311	0,524	0,21124	16,5
6,004	5	6,5921	85,9	7,87	12,5	17,1	386,71	15,2	311	0,524	0,17004	18,9
6,377	5	6,3467	94,3	7,87	12,5	20,45	392,52	15,2	311	0,524	0,22489	15
6,009	5	6,2267	82,9	7,87	12,5	13,27	396,9	15,2	311	0,524	0,11747	18,9
5,889	5	5,4509	39	7,87	12,5	15,71	390,5	15,2	311	0,524	0,09378	21,7
5,949	4	4,7075	61,8	8,14	0	8,26	396,9	21	307	0,538	0,62976	20,4
6,096	4	4,4619	84,5	8,14	0	10,26	380,02	21	307	0,538	0,63796	18,2
5,834	4	4,4986	56,5	8,14	0	8,47	395,62	21	307	0,538	0,62739	19,9
5,935	4	4,4986	29,3	8,14	0	6,58	386,85	21	307	0,538	1,05393	23,1
5,99	4	4,2579	81,7	8,14	0	14,67	386,75	21	307	0,538	0,7842	17,5
5,456	4	3,7965	36,6	8,14	0	11,69	288,99	21	307	0,538	0,80271	20,2
5,727	4	3,7965	69,5	8,14	0	11,28	390,95	21	307	0,538	0,7258	18,2
5,57	4	3,7979	98,1	8,14	0	21,02	376,57	21	307	0,538	1,25179	13,6
5,965	4	4,0123	89,2	8,14	0	13,83	392,53	21	307	0,538	0,85204	19,6
6,142	4	3,9769	91,7	8,14	0	18,72	396,9	21	307	0,538	1,23247	15,2
5,813	4	4,0952	100	8,14	0	19,88	394,54	21	307	0,538	0,98843	14,5
5,924	4	4,3996	94,1	8,14	0	16,3	394,33	21	307	0,538	0,75026	15,6
5,599	4	4,4546	85,7	8,14	0	16,51	303,42	21	307	0,538	0,84054	13,9
5,813	4	4,682	90,3	8,14	0	14,81	376,88	21	307	0,538	0,67191	16,6
